"filename", "language", "SCSS", "JSON", "vue", "JSON with Comments", "JavaScript", "XML", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\changelog.md", "Markdown", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-body\mescroll-body.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 2, 19
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-body\mescroll-body.vue", "vue", 0, 0, 380, 0, 0, 0, 0, 0, 0, 0, 20, 400
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-diy\beibei\components\mescroll-down.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 43, 4, 0, 47
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-diy\beibei\components\mescroll-down.vue", "vue", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 3, 40
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-diy\beibei\mescroll-body.vue", "vue", 0, 0, 339, 0, 0, 0, 0, 0, 0, 0, 22, 361
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-diy\beibei\mescroll-uni-option.js", "JavaScript", 0, 0, 0, 0, 41, 0, 0, 0, 0, 7, 1, 49
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-diy\beibei\mescroll-uni.vue", "vue", 0, 0, 417, 0, 0, 0, 0, 0, 0, 0, 21, 438
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-diy\xinlang\components\mescroll-down.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 41, 2, 1, 44
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-diy\xinlang\components\mescroll-down.vue", "vue", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 3, 54
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-diy\xinlang\components\mescroll-up.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 31, 1, 0, 32
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-diy\xinlang\components\mescroll-up.vue", "vue", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 3, 41
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-diy\xinlang\mescroll-body.vue", "vue", 0, 0, 359, 0, 0, 0, 0, 0, 0, 0, 22, 381
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-diy\xinlang\mescroll-uni-option.js", "JavaScript", 0, 0, 0, 0, 55, 0, 0, 0, 0, 8, 2, 65
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-diy\xinlang\mescroll-uni.vue", "vue", 0, 0, 440, 0, 0, 0, 0, 0, 0, 0, 23, 463
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-empty\mescroll-empty.vue", "vue", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 8, 117
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-uni\components\mescroll-down.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 43, 6, 6, 55
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-uni\components\mescroll-down.vue", "vue", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 3, 48
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-uni\components\mescroll-top.vue", "vue", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 6, 84
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-uni\components\mescroll-up.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 36, 5, 6, 47
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-uni\components\mescroll-up.vue", "vue", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 3, 40
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-uni\mescroll-i18n.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 4, 2, 16
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-uni\mescroll-mixins.js", "JavaScript", 0, 0, 0, 0, 46, 0, 0, 0, 0, 9, 3, 58
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-uni\mescroll-uni-option.js", "JavaScript", 0, 0, 0, 0, 55, 0, 0, 0, 0, 8, 2, 65
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-uni\mescroll-uni.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 30, 2, 5, 37
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-uni\mescroll-uni.js", "JavaScript", 0, 0, 0, 0, 591, 0, 0, 0, 0, 131, 77, 799
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-uni\mescroll-uni.vue", "vue", 0, 0, 457, 0, 0, 0, 0, 0, 0, 0, 21, 478
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-uni\mixins\mescroll-comp.js", "JavaScript", 0, 0, 0, 0, 41, 0, 0, 0, 0, 5, 2, 48
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-uni\mixins\mescroll-more-item.js", "JavaScript", 0, 0, 0, 0, 53, 0, 0, 0, 0, 12, 2, 67
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-uni\mixins\mescroll-more.js", "JavaScript", 0, 0, 0, 0, 63, 0, 0, 0, 0, 10, 2, 75
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-uni\wxs\mixins.js", "JavaScript", 0, 0, 0, 0, 79, 0, 0, 0, 0, 26, 5, 110
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-uni\wxs\renderjs.js", "JavaScript", 0, 0, 0, 0, 62, 0, 0, 0, 0, 16, 14, 92
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\components\mescroll-uni\wxs\wxs.wxs", "XML", 0, 0, 0, 0, 0, 235, 0, 0, 0, 0, 33, 268
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\package.json", "JSON", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\mescroll-uni\readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 10, 45
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-badge\changelog.md", "Markdown", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 34
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-badge\components\uni-badge\uni-badge.vue", "vue", 0, 0, 246, 0, 0, 0, 0, 0, 0, 0, 23, 269
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-badge\package.json", "JSON", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-badge\readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 5, 11
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-captcha\changelog.md", "Markdown", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 1, 38
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-captcha\components\uni-captcha\uni-captcha.vue", "vue", 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 12, 167
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-captcha\components\uni-popup-captcha\uni-popup-captcha.vue", "vue", 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 8, 141
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-captcha\package.json", "JSON", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-captcha\readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-captcha\uniCloud\cloudfunctions\common\uni-captcha\LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 33, 202
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-captcha\uniCloud\cloudfunctions\common\uni-captcha\index.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-captcha\uniCloud\cloudfunctions\common\uni-captcha\package.json", "JSON", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-captcha\uniCloud\cloudfunctions\uni-captcha-co\config.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 10, 0, 17
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-captcha\uniCloud\cloudfunctions\uni-captcha-co\index.obj.js", "JavaScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 9, 1, 33
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-captcha\uniCloud\cloudfunctions\uni-captcha-co\package.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-captcha\uniCloud\database\opendb-verify-codes.schema.json", "JSON", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-cloud-s2s\changelog.md", "Markdown", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-cloud-s2s\package.json", "JSON", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-cloud-s2s\readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-cloud-s2s\uniCloud\cloudfunctions\common\uni-cloud-s2s\index.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
